eval_id,timestamp,test_id,monday_update_id,agent_output,llm_score,llm_reasoning,human_validation_status,human_score,human_feedback,final_score,status,duration_seconds,error_message,input_reference,output_reference,passed,error,analyses_count,pr_count
EVAL_20251106_103045,2025-11-06T10:30:45,GS_A001,updateMday1,"Le fichier main.py contient une API FastAPI avec plusieurs endpoints clés : /health pour vérifier l'état, /process pour traiter les requêtes, /status pour le statut, et /evaluation/run pour lancer les évaluations. L'agent VyData est initialisé avec LangGraph et intègre Monday.com et GitHub.",85.0,Good accuracy and completeness. The response correctly identifies main endpoints and mentions VyData agent integration. Minor issue: missing /evaluation/report endpoint. Clarity is excellent with well-structured explanation.,validated,88.0,"Très bonne analyse, juste l'endpoint /evaluation/report manquant",86.5,PASS,2.3,,,,,,,
EVAL_20251106_103512,2025-11-06T10:35:12,GS_P001,updateMday2,"PR #156 créée avec succès ! Branche: feat/login-form. Fichiers créés: LoginForm.tsx (composant React avec useState pour email/password), validation avec regex pour email et contraintes password (8 caractères min), LoginForm.css (design moderne), LoginForm.test.tsx (tests Jest). Documentation mise à jour.",65.0,"Implementation is present but incomplete. Missing detailed validation rules (uppercase, digit, special char requirements). Test coverage percentage not specified. Good structure and clarity. Code quality appears adequate but lacks some expected details.",pending,,,65.0,FAIL,5.8,,,,,,,
EVAL_20251106_104033,2025-11-06T10:40:33,GS_A002,updateMday3,"Le projet est organisé en modules bien définis : services/ contient la logique métier (agent_service, workflow_service, human_validation_service, reactivation_service), models/ les schémas Pydantic, api/ les routes FastAPI, utils/ les outils (logger, formatters), tools/ les intégrations (monday_tool, github_tool), nodes/ les nœuds de workflow (analyze_node, update_node, validation_node), et data/ pour les données.",92.0,Excellent completeness and accuracy. All major directories are mentioned with specific file examples. Clear hierarchical structure. Good data quality with accurate file names. Very actionable description of project organization.,validated,95.0,"Parfait, très complet et précis",93.5,PASS,1.9,,,,,,,
EVAL_20251106_104521,2025-11-06T10:45:21,GS_A003,hello,"Bonjour ! Je suis VyData, votre assistant IA. Je peux vous aider avec l'analyse de code, la création de Pull Requests, répondre à vos questions techniques et bien plus. Comment puis-je vous assister ?",90.0,Clear and friendly greeting. Mentions key capabilities. Good actionability with question prompt. Minor: missing some specific capabilities like bug fixing and feature implementation. Overall excellent response for a greeting.,validated,90.0,Parfait pour une salutation,90.0,PASS,0.8,,,,,,,
EVAL_20251106_105234,2025-11-06T10:52:34,GS_P002,updateMday4,"PR #157 créée sur feat/users-endpoint avec : routes/users.js (endpoint GET /users acceptant limit et offset en query params), controllers/userController.js (logique avec pagination), validation middleware, gestion erreurs 404/500, tests d'intégration test_users_endpoint.js (6 tests), Swagger mis à jour avec documentation complète de l'endpoint.",78.0,Good implementation with most required elements. Pagination is present with correct parameters. Error handling mentioned. Tests are included but only 6 scenarios vs expected 8. Missing explicit mention of caching. Clarity and structure are good.,validated,80.0,"Bonne implémentation, manque juste le cache",79.0,PASS,4.2,,,,,,,
EVAL_20251106_110156,2025-11-06T11:01:56,GS_A004,updateMday5,"Le service de validation humaine permet de demander l'avis d'un humain pendant le workflow. Il crée une demande stockée en base de données, notifie sur Monday.com, attend la réponse (approve/reject), puis reprend le workflow. Il y a un système de timeout si pas de réponse.",72.0,"Adequate explanation covering main functionality. Mentions database storage, Monday notification, and workflow pause. However, missing important details about locks to prevent conflicts and timeout duration. Completeness could be improved.",to_review,,,72.0,PASS,2.1,,,,,,,
EVAL_20251106_111423,2025-11-06T11:14:23,GS_A005,updateMday6,"L'agent a accès à plusieurs outils : monday_tool pour interagir avec Monday.com (lecture/écriture updates, gestion colonnes), github_tool pour GitHub (branches, PRs, commits, analyse), search_tool pour la recherche de code, file_tool pour les fichiers, et sql_tool pour les requêtes base de données.",88.0,Excellent accuracy listing all major tools. Good completeness with specific capabilities for each tool. Clear and well-structured. Minor: could provide more details on search_tool capabilities. Overall very good response.,validated,90.0,"Très complet, bien structuré",89.0,PASS,1.7,,,,,,,
EVAL_20251106_112845,2025-11-06T11:28:45,GS_P003,updateMday7,"PR #158 créée pour fix/user-error-handling : Ajout de try-catch dans controllers/userController.js fonction getUserById, retour HTTP 404 avec message 'User not found' si l'utilisateur n'existe pas, retour 500 avec logging en cas d'erreur base de données, tests d'erreurs ajoutés dans test_user_errors.js (5 tests), régression check OK.",82.0,"Good bug fix implementation with proper error handling. HTTP codes are correct (404, 500). Error messages are present. Tests are added. Minor: expected more comprehensive tests and explicit mention of logging details. Good overall quality.",validated,85.0,"Bon travail, correction solide",83.5,PASS,3.4,,,,,,,
EVAL_20251106_113612,2025-11-06T11:36:12,GS_A006,updateMday8,Le dernier commit sur main est 'feat: Add Excel support for golden datasets' par Jean Dupont le 2025-11-05. SHA: abc123. Fichiers modifiés : services/evaluation/excel_golden_dataset_service.py et README.md. Ce commit ajoute la gestion de datasets Excel.,76.0,"Good accuracy with commit message and author. Date and files are mentioned. Missing exact time (14:30) and line changes details (+150, +20). Clarity is good. Data quality adequate but could be more precise.",validated,75.0,Correct mais manque quelques détails précis,75.5,PASS,2.8,,,,,,,
EVAL_20251106_114328,2025-11-06T11:43:28,GS_P004,updateMday9,"PR #159 créée sur test/user-service : Fichier tests/services/test_user_service.js avec tests complets pour UserService. Tests CRUD (createUser, getUser, updateUser, deleteUser), tests d'erreur (validation, DB), mocks DB dans tests/mocks/db_mock.js. Couverture 92%. 15 tests, tous passent en 2.3s.",95.0,Excellent implementation. All CRUD operations tested. Error cases covered. Mocks properly implemented. Coverage is excellent (92%). Test count matches (15). Execution time specified. Very complete and accurate response.,validated,98.0,"Excellent travail, très complet",96.5,PASS,3.9,,,,,,,
