input,output,type
updateMday_golden_0001,"Le système de validation humaine permet à un humain d'intervenir dans le workflow de l'agent. Lorsqu'une décision critique est nécessaire, l'agent crée une demande de validation qui est stockée en base de données avec le statut 'pending'. Une notification est envoyée via Monday.com avec des boutons d'action (Approve/Reject). Le workflow est mis en pause jusqu'à ce que l'humain valide ou rejette la demande. Un timeout de 24h par défaut est configuré pour éviter les blocages.",analysis
updateMday_golden_0002,"Le fichier main.py contient l'application FastAPI principale avec 5 endpoints : /health (healthcheck), /process (traitement des updates Monday), /status (statut des tâches), /evaluation/run (lancement d'évaluation), et /evaluation/report (rapport d'évaluation). Il initialise l'agent VyData, configure les routes API, gère les webhooks Monday.com, et orchestre le workflow asynchrone avec LangGraph. Le fichier inclut également la gestion des erreurs, le logging, et l'intégration avec GitHub.",analysis
updateMday_golden_0003,"L'agent dispose de 5 outils principaux : 1) monday_tool pour interagir avec Monday.com (lecture/écriture de colonnes, gestion des updates), 2) github_tool pour les opérations GitHub (création de branches, PRs, commits, analyse de code), 3) search_tool pour la recherche sémantique dans le code, 4) file_tool pour lire/écrire des fichiers localement, et 5) sql_tool pour interroger la base de données et l'historique des tâches.",pr
updateMday_golden_0004,"Le workflow suit ces étapes : 1) Réception d'un update Monday.com via webhook, 2) Analyse de la requête par le router d'intention (classification question/commande), 3) Pour les questions : exploration du repository GitHub + génération de réponse, 4) Pour les commandes : création de branche + implémentation + tests + PR, 5) Validation humaine optionnelle si nécessaire, 6) Mise à jour de Monday.com avec les résultats, 7) Sauvegarde en base de données (PostgreSQL), 8) Logging complet pour audit. Le tout géré par LangGraph pour la gestion d'état.",pr
updateMday_golden_0005,"Le projet est organisé en modules : /services (logique métier avec agent_service, workflow_service, human_validation_service, evaluation services), /models (schémas Pydantic pour validation), /api (routes FastAPI), /utils (logger, formatters), /tools (monday_tool, github_tool), /nodes (analyze_node, update_node, validation_node pour LangGraph), /ai (chains LangChain, LLM factory), /data (bases de données, golden datasets), /admin (interface d'administration), /scripts (scripts utilitaires), /tests (tests unitaires et d'intégration).",analysis
updateMday_golden_0006,"Pour corriger une erreur 404 : 1) Vérifier que la route est bien définie dans le router avec le bon chemin et la bonne méthode HTTP, 2) Vérifier que les paramètres de path correspondent (ex: /users/{id} avec id entier), 3) Vérifier l'ordre des routes (les routes plus spécifiques doivent être avant les génériques), 4) Vérifier que le serveur écoute sur le bon port, 5) Vérifier les middlewares qui pourraient bloquer la requête, 6) Ajouter un endpoint catch-all pour logger les routes non trouvées, 7) Tester avec curl ou Postman pour isoler le problème.",analysis
updateMday_golden_0007,"Pour implémenter un cache Redis efficace : 1) Installer redis et le client Python (redis-py), 2) Créer un service cache_service.py avec des méthodes get/set/delete/flush, 3) Définir des TTL appropriés par type de données (ex: 5min pour données user, 1h pour données statiques), 4) Implémenter un décorateur @cache pour mettre en cache les fonctions, 5) Ajouter une stratégie d'invalidation (invalidation manuelle + TTL), 6) Gérer les cache misses gracieusement, 7) Monitorer les hit rates pour optimiser, 8) Prévoir un fallback si Redis est down.",analysis
updateMday_golden_0008,"Pour créer un composant de login professionnel : Utilise un formulaire contrôlé avec useState pour gérer email et password. Ajoute la validation : email doit être valide (regex), password minimum 8 caractères avec 1 majuscule, 1 chiffre, 1 caractère spécial. Inclus la gestion des erreurs avec des messages clairs. Ajoute un bouton de soumission avec état de chargement. Style moderne avec CSS ou Tailwind. Implémente la gestion de l'authentification (appel API, stockage du token, redirection). Ajoute des tests unitaires avec Jest/React Testing Library.",analysis
updateMday_golden_0009,"async/await et callbacks résolvent le même problème (asynchrone) mais différemment : Les callbacks créent une pyramide de l'enfer (callback hell) avec du code imbriqué difficile à lire. async/await permet d'écrire du code asynchrone qui ressemble à du code synchrone, plus lisible. async/await gère mieux les erreurs avec try/catch classique vs error-first callbacks. async/await retourne des Promises, donc compatible avec .then(). Performances similaires. async/await est recommandé pour nouveau code. Les callbacks restent utiles pour les event listeners et certaines APIs legacy.",analysis
updateMday_golden_0010,"Pour tester une fonction calculatePrice(price, discount) : 1) Test nominal : prix 100, remise 10% = 90, 2) Test prix 0 : devrait retourner 0, 3) Test remise 0% : devrait retourner prix original, 4) Test remise 100% : devrait retourner 0, 5) Test prix négatif : devrait throw error, 6) Test remise > 100% : devrait throw error, 7) Test remise négative : devrait throw error, 8) Test avec décimales : prix 99.99, remise 15.5%, vérifier arrondi, 9) Test avec null/undefined : devrait throw error, 10) Mock si la fonction appelle une API externe. Utiliser Jest ou Mocha/Chai.",analysis
