metric_date,total_tests_run,tests_analysis,tests_pr,pass_rate_percent,avg_llm_score,avg_human_score,avg_final_score,avg_duration_s,tests_pending_validation,reliability_status,notes,total_interactions,interactions_analysis,interactions_pr,success_count,failed_count,success_rate_percent,avg_duration_seconds
2025-11-06,,,,,,,,,,needs_improvement,1 échecs,3.0,2.0,1.0,2.0,1.0,66.7,3.1
2025-11-05,22.0,13.0,9.0,77.3,78.9,82.1,79.8,2.8,1.0,good,5 tests échoués sur les PRs - à revoir,,,,,,,
2025-11-04,18.0,12.0,6.0,88.9,84.5,87.0,85.4,2.3,0.0,excellent,Meilleure performance de la semaine,,,,,,,
2025-11-03,12.0,8.0,4.0,75.0,76.2,79.5,77.3,3.1,3.0,good,3 tests en attente - délai validation,,,,,,,
2025-11-02,20.0,15.0,5.0,80.0,81.7,84.3,82.6,2.6,1.0,good,Bonne performance globale,,,,,,,
2025-11-01,16.0,10.0,6.0,81.3,82.4,85.1,83.4,2.4,2.0,good,Tests PR légèrement en dessous objectif,,,,,,,
2025-10-31,25.0,15.0,10.0,84.0,83.1,86.7,84.5,2.7,4.0,excellent,Record de tests effectués - 4 validations en attente,,,,,,,
2025-10-30,14.0,9.0,5.0,71.4,74.8,78.2,76.1,3.2,1.0,good,Performance en dessous moyenne - analyser échecs,,,,,,,
2025-10-29,19.0,13.0,6.0,84.2,82.6,85.9,83.8,2.5,2.0,excellent,Bonne récupération après baisse du 30/10,,,,,,,
2025-10-28,11.0,7.0,4.0,72.7,75.3,79.1,76.8,2.9,0.0,good,Petit volume de tests - weekend,,,,,,,
2025-10-27,23.0,14.0,9.0,87.0,86.2,89.5,87.4,2.4,3.0,excellent,Excellente performance - score le plus élevé,,,,,,,
2025-10-26,17.0,11.0,6.0,76.5,77.8,81.4,79.2,2.8,2.0,good,Performance moyenne - quelques PR incomplètes,,,,,,,
2025-10-25,21.0,12.0,9.0,81.0,80.5,84.2,81.9,2.6,1.0,good,Amélioration constante sur les analyses,,,,,,,
2025-10-24,13.0,8.0,5.0,69.2,73.1,76.8,74.5,3.3,2.0,needs_improvement,Score en baisse - 4 tests échoués - action requise,,,,,,,
2025-10-23,19.0,13.0,6.0,78.9,79.7,82.9,80.8,2.7,3.0,good,Retour à niveau après correction bugs,,,,,,,
