"Comment fonctionne le système de validation humaine ?","Le système de validation humaine permet à un humain d'intervenir dans le workflow de l'agent. Lorsqu'une décision critique est nécessaire, l'agent crée une demande de validation qui est stockée en base de données avec le statut 'pending'. Une notification est envoyée via Monday.com avec des boutons d'action (Approve/Reject). Le workflow est mis en pause jusqu'à ce que l'humain valide ou rejette la demande. Un timeout de 24h par défaut est configuré pour éviter les blocages."
"Analyse le fichier main.py et décris sa structure","Le fichier main.py contient l'application FastAPI principale avec 5 endpoints : /health (healthcheck), /process (traitement des updates Monday), /status (statut des tâches), /evaluation/run (lancement d'évaluation), et /evaluation/report (rapport d'évaluation). Il initialise l'agent VyData, configure les routes API, gère les webhooks Monday.com, et orchestre le workflow asynchrone avec LangGraph. Le fichier inclut également la gestion des erreurs, le logging, et l'intégration avec GitHub."
"Quels sont les outils disponibles pour l'agent ?","L'agent dispose de 5 outils principaux : 1) monday_tool pour interagir avec Monday.com (lecture/écriture de colonnes, gestion des updates), 2) github_tool pour les opérations GitHub (création de branches, PRs, commits, analyse de code), 3) search_tool pour la recherche sémantique dans le code, 4) file_tool pour lire/écrire des fichiers localement, et 5) sql_tool pour interroger la base de données et l'historique des tâches."
"Explique le workflow de l'agent de bout en bout","Le workflow suit ces étapes : 1) Réception d'un update Monday.com via webhook, 2) Analyse de la requête par le router d'intention (classification question/commande), 3) Pour les questions : exploration du repository GitHub + génération de réponse, 4) Pour les commandes : création de branche + implémentation + tests + PR, 5) Validation humaine optionnelle si nécessaire, 6) Mise à jour de Monday.com avec les résultats, 7) Sauvegarde en base de données (PostgreSQL), 8) Logging complet pour audit. Le tout géré par LangGraph pour la gestion d'état."
"Quelle est la structure du projet ?","Le projet est organisé en modules : /services (logique métier avec agent_service, workflow_service, human_validation_service, evaluation services), /models (schémas Pydantic pour validation), /api (routes FastAPI), /utils (logger, formatters), /tools (monday_tool, github_tool), /nodes (analyze_node, update_node, validation_node pour LangGraph), /ai (chains LangChain, LLM factory), /data (bases de données, golden datasets), /admin (interface d'administration), /scripts (scripts utilitaires), /tests (tests unitaires et d'intégration)."
"Comment corriger une erreur 404 dans une API REST ?","Pour corriger une erreur 404 : 1) Vérifier que la route est bien définie dans le router avec le bon chemin et la bonne méthode HTTP, 2) Vérifier que les paramètres de path correspondent (ex: /users/{id} avec id entier), 3) Vérifier l'ordre des routes (les routes plus spécifiques doivent être avant les génériques), 4) Vérifier que le serveur écoute sur le bon port, 5) Vérifier les middlewares qui pourraient bloquer la requête, 6) Ajouter un endpoint catch-all pour logger les routes non trouvées, 7) Tester avec curl ou Postman pour isoler le problème."
"Implémente un système de cache Redis pour améliorer les performances","Pour implémenter un cache Redis efficace : 1) Installer redis et le client Python (redis-py), 2) Créer un service cache_service.py avec des méthodes get/set/delete/flush, 3) Définir des TTL appropriés par type de données (ex: 5min pour données user, 1h pour données statiques), 4) Implémenter un décorateur @cache pour mettre en cache les fonctions, 5) Ajouter une stratégie d'invalidation (invalidation manuelle + TTL), 6) Gérer les cache misses gracieusement, 7) Monitorer les hit rates pour optimiser, 8) Prévoir un fallback si Redis est down."
"Crée un composant React pour un formulaire de login","Pour créer un composant de login professionnel : Utilise un formulaire contrôlé avec useState pour gérer email et password. Ajoute la validation : email doit être valide (regex), password minimum 8 caractères avec 1 majuscule, 1 chiffre, 1 caractère spécial. Inclus la gestion des erreurs avec des messages clairs. Ajoute un bouton de soumission avec état de chargement. Style moderne avec CSS ou Tailwind. Implémente la gestion de l'authentification (appel API, stockage du token, redirection). Ajoute des tests unitaires avec Jest/React Testing Library."
"Explique la différence entre async/await et les callbacks en JavaScript","async/await et callbacks résolvent le même problème (asynchrone) mais différemment : Les callbacks créent une pyramide de l'enfer (callback hell) avec du code imbriqué difficile à lire. async/await permet d'écrire du code asynchrone qui ressemble à du code synchrone, plus lisible. async/await gère mieux les erreurs avec try/catch classique vs error-first callbacks. async/await retourne des Promises, donc compatible avec .then(). Performances similaires. async/await est recommandé pour nouveau code. Les callbacks restent utiles pour les event listeners et certaines APIs legacy."
"Crée des tests unitaires pour une fonction de calcul de prix avec remise","Pour tester une fonction calculatePrice(price, discount) : 1) Test nominal : prix 100, remise 10% = 90, 2) Test prix 0 : devrait retourner 0, 3) Test remise 0% : devrait retourner prix original, 4) Test remise 100% : devrait retourner 0, 5) Test prix négatif : devrait throw error, 6) Test remise > 100% : devrait throw error, 7) Test remise négative : devrait throw error, 8) Test avec décimales : prix 99.99, remise 15.5%, vérifier arrondi, 9) Test avec null/undefined : devrait throw error, 10) Mock si la fonction appelle une API externe. Utiliser Jest ou Mocha/Chai."
"Comment fonctionne le scheduler des tâches de l’agent ?","Le scheduler repose sur APScheduler, configuré pour exécuter des tâches planifiées comme la synchronisation avec Monday.com, le nettoyage des logs, et les relances automatiques de validations humaines expirées. Chaque job est stocké dans la base PostgreSQL avec son ID unique, son intervalle et son statut. Le scheduler redémarre automatiquement les jobs en cas de redéploiement. Un endpoint /scheduler/status permet de consulter les jobs actifs."
"Quelle est la logique du module github_tool ?","Le module github_tool encapsule les interactions GitHub via PyGitHub. Il fournit des méthodes pour : créer des branches, ouvrir des pull requests, commenter du code, récupérer les fichiers modifiés, et analyser les commits récents. Il inclut aussi une logique de fallback locale pour les opérations hors ligne. L’authentification se fait par token personnel GitHub stocké dans les variables d’environnement."
"Comment le router d’intention détermine-t-il le type de requête ?","Le router d’intention s’appuie sur un modèle de classification textuelle (LLM fine-tuné) qui analyse le contenu de la requête issue de Monday.com. Il renvoie un label : 'question', 'commande', 'analyse', ou 'erreur'. Ce label oriente ensuite le flux LangGraph vers le nœud approprié (ex: analyze_node ou implement_node). Une règle de confiance (threshold 0.75) déclenche une revalidation humaine si le score est faible."
"Explique comment l’agent gère les erreurs d’exécution","Lorsqu’une exception survient, elle est interceptée par un middleware FastAPI. Le logger capture le message, la stacktrace et le contexte (user, tâche, module). Une notification est envoyée dans Monday.com (colonne 'Status' mise à jour en 'Erreur'). Le système stocke aussi l’erreur dans une table error_log avec les détails pour le débogage. Certaines erreurs critiques déclenchent un rollback automatique de la tâche."
